nmero,edad,identidad_genero,tipo_victima,lugar_hecho,modalidad_comisiva,fecha_hecho
624,28,Mujer,Principal ,Río Negro,Se desconoce,Se desconoce
620,27,Mujer,Principal ,Río Negro,Golpes,Se desconoce
612,,Mujer,Principal ,Santiago del Estero,Se desconoce,Se desconoce
754,53,Mujer,Principal ,Buenos Aires ,Disparo de bala,10/24/2016
753,43,Mujer,Principal ,Córdoba,Acuchillamiento,10/23/2016
752,90,Mujer,Vinculado,Mendoza,Acuchillamiento,10/23/2016
752,65,Mujer,Vinculado,Mendoza,Acuchillamiento,10/23/2016
752,31,Mujer,Principal ,Mendoza,Acuchillamiento,10/23/2016
751,41,Mujer,Principal ,Mendoza,Acuchillamiento,10/19/2016
748,42,Mujer,Principal ,Tucumán,Apuñalamiento,10/18/2016
747,11 meses,Mujer,Principal ,Buenos Aires ,Abuso sexual,10/17/2016
746,35,Mujer,Principal ,Jujuy,Quemaduras,10/17/2016
741,38,Mujer,Principal ,Buenos Aires ,Degollamiento,10/16/2016
745,63,Mujer,Principal ,Buenos Aires ,Acuchillamiento,10/15/2016
739,15,Mujer,Principal ,Mendoza,Asfixia,10/15/2016
749,34,Mujer,Principal ,Córdoba,Disparo de bala,10/14/2016
742,22,Mujer,Principal ,Córdoba,Se desconoce,10/14/2016
740,28,Mujer,Principal ,Santiago del Estero,Acuchillamiento,10/14/2016
738,55,Mujer,Principal ,Buenos Aires ,Acuchillamiento - Golpes,10/13/2016
743,41,Mujer,Principal ,Córdoba,Acuchillamiento,10/12/2016
744,54,Mujer,Principal ,Buenos Aires ,Acuchillamiento,10/11/2016
736,16,Mujer,Principal ,Buenos Aires ,Empalamiento  - Otros,10/9/2016
735,22,Mujer,Principal ,Buenos Aires ,Estrangulamiento,10/9/2016
731,30,Mujer,Principal ,Santa Cruz,Quemaduras - Degollamiento - Apuñalamiento,10/5/2016
730,26,Mujer,Principal ,Buenos Aires ,Disparo de bala,10/3/2016
732,30,Mujer,Principal ,Jujuy,Disparo de bala,10/1/2016
729,19,Mujer,Principal ,CABA,Apuñalamiento,9/28/2016
728,19,Mujer,Principal ,Mendoza,Degollamiento,9/28/2016
727,21,Mujer,Principal ,Mendoza,Golpes,9/27/2016
726,29,Mujer,Principal ,Mendoza,Disparo de bala,9/23/2016
733,18,Mujer,Principal ,Buenos Aires ,Acuchillamiento - Degollamiento,9/21/2016
724,44,Mujer,Principal ,Santiago del Estero,Disparo de bala,9/21/2016
722,39,Mujer,Vinculado,Buenos Aires ,Disparo de bala,9/20/2016
722,25,Hombre,Vinculado,Buenos Aires ,Disparo de bala,9/20/2016
723,18,Mujer,Principal ,Tucumán,Se desconoce,9/18/2016
719,16,Mujer,Principal ,Buenos Aires ,Disparo de bala,9/16/2016
725,26,Hombre,Vinculado,Chubut,Disparo de bala,9/13/2016
725,54,Mujer,Vinculado,Chubut,Disparo de bala,9/13/2016
718,26,Mujer,Principal ,Mendoza,Ahorcamiento,9/13/2016
712,27,Mujer,Principal ,Salta,Acuchillamiento,9/13/2016
717,24,Mujer,Principal ,Santa Fe,Disparo de bala,9/12/2016
711,36,Travesti,Principal ,Jujuy,Acuchillamiento,9/10/2016
750,65,Mujer,Principal ,Mendoza,Asfixia,9/9/2016
710,19,Mujer,Principal ,Buenos Aires ,Disparo de bala,9/9/2016
707,21,Mujer,Principal ,Chubut,Acuchillamiento - Golpes,8/28/2016
709,50,Mujer,Principal ,Buenos Aires ,Se desconoce,8/26/2016
708,39,Mujer,Principal ,Buenos Aires ,Disparo de bala,8/21/2016
705,37,Mujer,Principal ,Corrientes,Acuchillamiento - Disparo de Bala,8/19/2016
706,17,Mujer,Principal ,Santa Fe,Se desconoce,8/16/2016
700,63,Mujer,Principal ,Buenos Aires ,Golpes - Quemaduras,8/14/2016
699,21,Mujer,Principal ,Chaco,Otros,8/14/2016
698,23,Mujer,Principal ,Buenos Aires ,Disparo de bala,8/14/2016
701,43,Mujer,Principal ,Buenos Aires ,Disparo de bala,8/13/2016
704,36,Mujer,Principal ,Buenos Aires ,Golpes - Ahorcamiento,8/9/2016
694,53,Mujer,Principal ,Buenos Aires ,Disparo de bala,8/8/2016
696,18,Mujer,Principal ,Tucumán,Ahorcamiento,8/7/2016
702,45 días,Mujer,Vinculado,Córdoba,Golpes,8/6/2016
691,17,Mujer,Principal ,Santa Fe,Disparo de bala,7/31/2016
692,18,Mujer,Principal ,CABA,Asfixia - Estrangulamiento,7/29/2016
690,25,Mujer,Principal ,Santa Fe,Golpes - Ahorcamiento,7/28/2016
689,31,Mujer,Principal ,Córdoba,Disparo de bala,7/25/2016
686,20,Mujer,Principal ,Jujuy,Ahorcamiento,7/23/2016
684,37,Mujer,Principal ,Santa Fe,Acuchillamiento,7/23/2016
703,42,Mujer,Principal ,Buenos Aires ,Disparo de bala,7/20/2016
683,40,Mujer,Principal ,Buenos Aires ,Suicidio inducido,7/19/2016
685,29,Mujer,Principal ,Jujuy,Golpes,7/14/2016
681,Se desconoce,Mujer,Principal ,Buenos Aires ,Quemaduras,7/12/2016
680,27,Mujer,Principal ,Buenos Aires ,Disparo de bala,7/12/2016
677,53,Mujer,Principal ,Misiones,Estrangulamiento,7/11/2016
676,17,Mujer,Principal ,Córdoba,Disparo de bala,7/10/2016
675,50,Mujer,Principal ,Córdoba,Disparo de bala,7/7/2016
672,24,Hombre,Vinculado,Buenos Aires ,Acuchillamiento,7/7/2016
672,19,Mujer,Vinculado,Buenos Aires ,Acuchillamiento,7/7/2016
672,52,Mujer,Principal ,Buenos Aires ,Acuchillamiento,7/7/2016
672,22,Mujer,Vinculado,Buenos Aires ,Acuchillamiento,7/7/2016
672,70,Hombre,Vinculado,Buenos Aires ,Acuchillamiento,7/7/2016
687,43,Mujer,Principal ,Neuquén,Acuchillamiento,7/6/2016
679,29,Mujer,Principal ,Buenos Aires ,Disparo de bala,7/6/2016
674,38,Mujer,Principal ,Buenos Aires ,Apuñalamiento,7/6/2016
671,35,Mujer,Principal ,Buenos Aires ,Disparo de bala,7/5/2016
669,21,Mujer,Principal ,Salta,Acuchillamiento,7/4/2016
667,25,Mujer,Principal ,Tierra del Fuego,Se desconoce,7/3/2016
668,26,Mujer,Principal ,Formosa,Golpes,6/26/2016
715,53,Travesti,Principal ,Buenos Aires ,Acuchillamiento,6/23/2016
673,42,Mujer,Principal ,Santa Fé,Degollamiento,6/23/2016
665,26,Mujer,Principal ,Córdoba,Estrangulamiento,6/22/2016
664,58,Mujer,Principal ,Santa Fé,Disparo de bala,6/22/2016
663,56,Mujer,Principal ,Chaco,Quemaduras,6/20/2016
666,17,Mujer,Principal ,San Juan,Estrangulamiento,6/16/2016
662,36,Mujer,Principal ,Santiago del Estero,Ahorcamiento,6/16/2016
725,14,Mujer,Vinculado,Chubut,Disparo de bala,6/13/2016
678,20,Mujer,Principal ,Misiones,Asfixia,6/13/2016
661,24,Mujer,Principal ,Buenos Aires ,Disparo de bala,6/8/2016
660,41,Mujer,Principal ,Buenos Aires ,Degollamiento,6/7/2016
655,35,Travesti,Principal ,Mendoza,Golpes  - Otros,6/5/2016
654,12,Mujer,Principal ,Tucumán,Estrangulamiento - Otros,5/28/2016
652,12,Mujer,Principal ,Santa Fé,Estrangulamiento - Otros,5/25/2016
651,25,Mujer,Principal ,Chubut,Golpes - Apuñalamiento,5/17/2016
650,21,Mujer,Principal ,Santa Fé,Golpes - Estrangulamiento - Otros,5/14/2016
648,26,Mujer,Principal ,Buenos Aires ,Estrangulamiento - Otros,5/6/2016
648,14,Mujer,Principal ,Buenos Aires ,Estrangulamiento - Otros,5/6/2016
646,30,Mujer,Principal ,Córdoba,Disparo de bala,5/6/2016
645,44,Mujer,Principal ,Córdoba,Se desconoce,5/3/2016
644,62,Mujer,Principal ,Entre Ríos,Se desconoce,4/28/2016
643,19,Mujer,Principal ,Córdoba,Golpes,4/28/2016
638,43,Mujer,Principal ,Córdoba,Apuñalamiento,4/27/2016
641,25,Mujer,Principal ,Buenos Aires ,Disparo de bala,4/26/2016
639,24,Mujer,Principal ,Buenos Aires ,Golpes - Otros,4/26/2016
637,48,Mujer,Principal ,Santa Fé,Disparo de bala,4/24/2016
635,22,Mujer,Principal ,Santa Cruz,Estrangulamiento,4/24/2016
633,44,Mujer,Principal ,Catamarca,Acuchillamiento,4/24/2016
653,12,Mujer,Principal ,Buenos Aires ,Golpes - Estrangulamiento - Otros,4/23/2016
642,52,Mujer,Principal ,Mendoza,Golpes,4/23/2016
649,18,Mujer,Principal ,Entre Ríos,Estrangulamiento - Otros,4/22/2016
647,21,Mujer,Principal ,Salta,Golpes,4/18/2016
657,8,Mujer,Principal ,Mendoza,Quemaduras - Otros,4/12/2016
631,53,Mujer,Principal ,Santa Fé,Golpes,4/11/2016
630,27,Mujer,Principal ,Buenos Aires ,Golpes,4/7/2016
629,25,Mujer,Vinculado,Santiago del Estero,Disparo de bala,4/6/2016
629,32,Hombre,Vinculado,Santiago del Estero,Disparo de bala,4/6/2016
629,36,Mujer,Principal ,Santiago del Estero,Disparo de bala,4/6/2016
628,27,Mujer,Principal ,La Rioja,Apuñalamiento,4/4/2016
659,25,Mujer,Principal ,Salta,Disparo de bala,4/2/2016
714,29,Travesti,Principal ,Formosa,Quemaduras - Apuñalamiento,4/1/2016
627,30,Mujer,Principal ,CABA,Disparo de bala,4/1/2016
625,44,Mujer,Principal ,Córdoba,Apuñalamiento,3/31/2016
626,22,Mujer,Principal ,Buenos Aires ,Disparo de bala,3/30/2016
621,42,Mujer,Principal ,Buenos Aires ,Acuchillamiento,3/29/2016
622,25,Mujer,Principal ,Santa Fé,Disparo de bala,3/28/2016
634,32,Mujer,Principal ,Salta,Disparo de bala,3/21/2016
616,26,Mujer,Principal ,Misiones,Golpes - Estrangulamiento,3/20/2016
658,16,Mujer,Principal ,Salta,Golpes - Otros,3/18/2016
617,29,Mujer,Principal ,Río Negro,Golpes,3/18/2016
618,32,Mujer,Principal ,Buenos Aires ,Apuñalamiento - Quemaduras,3/17/2016
618,11,Mujer,Vinculado,Buenos Aires ,Apuñalamiento - Quemaduras,3/17/2016
611,26,Mujer,Principal ,Buenos Aires ,Apuñalamiento,3/14/2016
614,43,Mujer,Principal ,Buenos Aires ,Acuchillamiento,3/13/2016
609,26,Mujer,Principal ,Córdoba,Disparo de bala,3/13/2016
610,45,Mujer,Principal ,San Juan,Golpes,3/11/2016
608,17,Mujer,Principal ,Buenos Aires ,Apuñalamiento,3/11/2016
607,34,Mujer,Principal ,Buenos Aires ,Apuñalamiento,3/7/2016
603,Se desconoce,Travesti,Principal ,Buenos Aires ,Disparo de bala,2/29/2016
606,23,Mujer,Principal ,Buenos Aires ,Disparo de bala,2/28/2016
601,37,Mujer,Principal ,San Juan,Golpes  - Apuñalamiento,2/27/2016
604,40,Mujer,Principal ,Buenos Aires ,Disparo de bala,2/26/2016
602,34,Travesti,Principal ,Buenos Aires ,Golpes,2/23/2016
600,64,Mujer,Principal ,San Juan,Abuso sexual - golpes,2/23/2016
599,18,Mujer,Principal ,Buenos Aires ,Acuchillamiento,2/21/2016
596,33,Mujer,Principal ,Mendoza,Disparo de bala,2/17/2016
592,25,Mujer,Principal ,Mendoza,Se desconoce,2/15/2016
590,50,Mujer,Principal ,Formosa,Apuñalamiento,2/15/2016
593,28,Mujer,Vinculado,Misiones,Disparo de bala,2/13/2016
591,39,Mujer,Principal ,Buenos Aires ,Estrangulamiento,2/13/2016
597,18,Mujer,Principal ,La Rioja,Disparo de bala,2/11/2016
585,33,Hombre,Vinculado,Entre Ríos,Apuñalamiento,2/10/2016
584,38,Mujer,Principal ,Chaco,Apuñalamiento,2/10/2016
586,20,Mujer,Principal ,CABA,Apuñalamiento,2/9/2016
583,58,Mujer,Principal ,Buenos Aires ,Apuñalamiento,2/8/2016
580,27,Mujer,Principal ,Buenos Aires ,Golpes - Apuñalamiento,2/8/2016
589,13,Mujer,Principal ,Mendoza,Asfixia,2/7/2016
588,21,Mujer,Principal ,Entre Ríos,Apuñalamiento,2/7/2016
579,35,Mujer,Principal ,Santa Fé,Apuñalamiento,2/7/2016
578,36,Mujer,Principal ,Mendoza,Apuñalamiento,2/7/2016
581,29,Mujer,Principal ,Santa Fé,Abuso sexual - asfixia,2/6/2016
574,18,Mujer,Principal ,Buenos Aires ,Degollamiento,2/4/2016
605,32,Mujer,Principal ,San Luis,Disparo de bala,1/30/2016
582,3,Mujer,Principal ,Buenos Aires ,Abuso sexual - golpes,1/30/2016
594,27,Mujer,Principal ,Neuquén,Disparo de bala,1/24/2016
566,31,Mujer,Principal ,Salta,Apuñalamiento,1/23/2016
563,13,Mujer,Principal ,Formosa,Golpes,1/23/2016
565,46,Mujer,Principal ,Córdoba,Quemaduras,1/22/2016
564,37,Mujer,Principal ,Córdoba,Golpes ,1/22/2016
562,Se desconoce,Travesti,Principal ,Río Negro,Se desconoce,1/17/2016
567,16,Mujer,Principal ,Córdoba,Disparo de bala,1/16/2016
561,28,Mujer,Principal ,Buenos Aires ,Acuchillamiento,1/15/2016
560,19,Mujer,Principal ,Corrientes,Estrangulamiento,1/13/2016
558,49,Mujer,Principal ,Santa Fé,Disparo de bala,1/13/2016
656,71,Mujer,Principal ,Mendoza,Golpes,1/12/2016
552,22,Mujer,Principal ,Salta,Ahorcamiento,1/4/2016
551,54,Mujer,Principal ,Santa Fé,Apuñalamiento,1/4/2016
670,26,Mujer,Principal ,Buenos Aires,Otros,12/31/2015
550,38,Mujer,Principal ,Buenos Aires,Golpes,12/27/2015
549,62,Mujer,Principal ,Buenos Aires,Apuñalamiento,12/24/2015
571,58,Mujer,Principal ,Santiago del Estero,Apuñalamiento,12/23/2015
555,20,Mujer,Principal ,Entre Ríos ,Otros,12/22/2015
570,23,Mujer,Principal ,Buenos Aires,Golpes - Asfixia,12/20/2015
576,48,Mujer,Principal ,Buenos Aires,Disparo de bala,12/18/2015
556,20,Mujer,Principal ,Santa Fé,Disparo de bala,12/15/2015
546,50,Mujer,Principal ,CABA,Acuchillamiento,12/15/2015
545,45,Mujer,Principal ,Córdoba,Golpes,12/13/2015
553,48,Mujer,Principal ,Buenos Aires,Apuñalamiento,12/11/2015
595,45,Mujer,Principal ,Santiago del Estero,Apuñalamiento,12/10/2015
577,73,Mujer,Principal ,Buenos Aires,Acuchillamiento,12/10/2015
544,22,Mujer,Principal ,Córdoba,Golpes,12/6/2015
542,16,Mujer,Principal ,Chaco,Golpes,12/6/2015
543,21,Mujer,Principal ,Tucumán,Ahorcamiento ,12/3/2015
541,18,Mujer,Principal ,Buenos Aires,Apuñalamiento,12/2/2015
540,3,Mujer,Principal ,Jujuy,Estrangulamiento,12/2/2015
548,46,Mujer,Principal ,Salta,Asfixia,12/1/2015
547,25,Mujer,Principal ,Salta,Disparo de bala,11/24/2015
557,35,Mujer,Principal ,Chaco,Disparo de bala,11/23/2015
559,19,Mujer,Principal ,Chaco,Acuchillamiento,11/22/2015
56,23,Mujer,Principal ,Buenos Aires,Degollamiento,11/20/2015
427,40,Mujer,Principal ,Buenos Aires,Degollamiento,11/17/2015
77,3,Hombre,Vinculado,Buenos Aires,Apuñalamiento,11/16/2015
77,23,Mujer,Principal ,Buenos Aires,Apuñalamiento,11/16/2015
166,17,Mujer,Principal ,Santa Fé,Golpes,11/15/2015
1,56,Mujer,Principal ,Salta,Golpes,11/13/2015
72,23,Mujer,Principal ,Buenos Aires,Disparo de bala,11/11/2015
24,17,Mujer,Principal ,Santa Cruz,Asfixia,11/8/2015
573,32,Mujer,Principal ,Santa Fé,Golpes - Degollamiento,11/4/2015
55,42,Mujer,Principal ,Mendoza,Apuñalamiento,10/30/2015
538,55,Mujer,Principal ,Buenos Aires,Acuchillamiento,10/28/2015
537,26,Mujer,Principal ,Córdoba,Apuñalamiento,10/23/2015
536,27,Mujer,Principal ,Buenos Aires,Estrangulamiento,10/22/2015
535,51,Mujer,Principal ,Buenos Aires,Disparo de bala,10/22/2015
48,36,Mujer,Principal ,Misiones,Asfixia,10/21/2015
532,33,Mujer,Principal ,Buenos Aires,Disparo de bala,10/19/2015
534,25,Mujer,Principal ,Buenos Aires,Asfixia,10/18/2015
521,39,Travesti,Principal ,CABA,Acuchillamiento,10/14/2015
520,23,Mujer,Principal ,Buenos Aires,Golpes,10/12/2015
525,35,Mujer,Principal ,Buenos Aires,Apuñalamiento,10/11/2015
519,38,Mujer,Principal ,Buenos Aires,Acuchillamiento,10/10/2015
518,23,Mujer,Principal ,Salta,Disparo de bala,10/9/2015
524,47,Mujer,Principal ,Buenos Aires,Degollamiento,10/8/2015
517,19,Mujer,Principal ,Mendoza,Quemaduras - Asfixia - Otros,10/8/2015
516,47,Mujer,Principal ,Río Negro ,Estrangulamiento,10/7/2015
508,19,Mujer,Principal ,Salta,Acuchillamiento,10/7/2015
506,17,Mujer,Principal ,Buenos Aires,Disparo de bala,10/7/2015
507,44,Mujer,Principal ,Buenos Aires,Apuñalamiento,10/6/2015
523,59,Trans - Femenina,Principal ,Santa Fé,Golpes - Apuñalamiento - Disparo de bala,9/25/2015
503,53,Mujer,Principal ,Salta,Acuchillamiento,9/23/2015
505,43,Mujer,Principal ,Misiones,Quemaduras,9/21/2015
192,20,Mujer,Principal ,Neuquén,Disparo de bala,9/21/2015
495,27,Mujer,Principal ,Mendoza,Golpes,9/20/2015
527,17,Mujer,Principal ,Buenos Aires,Se desconoce,9/18/2015
494,25,Mujer,Principal ,Buenos Aires,Golpes,9/18/2015
484,36,Mujer,Principal ,Neuquén,Disparo de bala,9/12/2015
483,24,Mujer,Principal ,Santa Fé,Disparo de bala,9/12/2015
477,85,Mujer,Principal ,CABA,Estrangulamiento,9/10/2015
522,26,Travesti,Principal ,Santa Cruz,Se desconoce,9/6/2015
533,41,Mujer,Principal ,CABA,Quemaduras,9/5/2015
454,50,Mujer,Principal ,Entre Ríos ,Golpes - Estrangulamiento,8/31/2015
450,51,Mujer,Principal ,Buenos Aires,Disparo de bala,8/31/2015
569,49,Mujer,Principal ,Neuquén,Quemaduras,8/27/2015
473,46,Mujer,Principal ,Corrientes,Golpes - Estrangulamiento,8/27/2015
446,35,Mujer,Principal ,Buenos Aires,Disparo de bala,8/25/2015
446,8,Mujer,Vinculado,Buenos Aires,Disparo de bala,8/25/2015
442,17,Mujer,Principal ,Entre Ríos ,Se desconoce,8/25/2015
478,73,Mujer,Principal ,Buenos Aires,Asfixia,8/24/2015
447,25,Mujer,Principal ,Córdoba,Disparo de bala,8/24/2015
444,39,Mujer,Principal ,Buenos Aires,Acuchillamiento - Golpes - Otros,8/24/2015
448,33,Mujer,Principal ,Buenos Aires,Otros,8/22/2015
502,44,Mujer,Principal ,Buenos Aires,Acuchillamiento - Golpes,8/21/2015
